Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
XTZ,2019-08-20,1.127,1.158,1.163,1.1
XTZ,2019-08-21,1.135,1.127,1.161,1.094
XTZ,2019-08-22,1.172,1.135,1.205,1.134
XTZ,2019-08-23,1.147,1.172,1.172,1.113
XTZ,2019-08-24,1.134,1.147,1.168,1.115
XTZ,2019-08-25,1.173,1.134,1.2,1.134
XTZ,2019-08-26,1.127,1.173,1.173,1.11
XTZ,2019-08-27,1.049,1.127,1.127,1.02
XTZ,2019-08-28,0.9942,1.049,1.071,0.9838
XTZ,2019-08-29,1.065,0.9942,1.072,0.9939
XTZ,2019-08-30,1.038,1.065,1.088,1.003
XTZ,2019-08-31,1.03,1.038,1.055,1.004
XTZ,2019-09-01,1.06,1.03,1.1,1.03
XTZ,2019-09-02,1.038,1.06,1.069,1.01
XTZ,2019-09-03,1.031,1.038,1.046,1.012
XTZ,2019-09-04,1.014,1.031,1.039,1.001
XTZ,2019-09-05,0.9927,1.014,1.032,0.99
XTZ,2019-09-06,1.023,0.9927,1.04,0.9663
XTZ,2019-09-07,1.065,1.023,1.08,1.021
XTZ,2019-09-08,1.045,1.065,1.175,1.026
XTZ,2019-09-09,1.019,1.045,1.052,1
XTZ,2019-09-10,1.002,1.019,1.03,0.9907
XTZ,2019-09-11,1.016,1.002,1.023,0.9802
XTZ,2019-09-12,0.9791,1.016,1.023,0.95
XTZ,2019-09-13,1,0.9791,1.016,0.9577
XTZ,2019-09-14,1.006,1,1.019,0.9863
XTZ,2019-09-15,1,1.006,1.01,0.9708
XTZ,2019-09-16,1.105,1,1.121,0.9944
XTZ,2019-09-17,1.085,1.105,1.16,1.085
XTZ,2019-09-18,1.095,1.085,1.125,1.028
XTZ,2019-09-19,1.06,1.095,1.112,1.036
XTZ,2019-09-20,1.067,1.06,1.072,1.048
XTZ,2019-09-21,1.05,1.067,1.074,1.041
XTZ,2019-09-22,1.05,1.05,1.16,1.002
XTZ,2019-09-23,0.8969,1.05,1.098,0.838
XTZ,2019-09-24,0.8481,0.8969,0.92,0.8128
XTZ,2019-09-25,0.8466,0.8481,0.9176,0.81
XTZ,2019-09-26,0.892,0.8466,0.8965,0.761
XTZ,2019-09-27,0.89,0.892,0.9172,0.8613
XTZ,2019-09-28,0.88,0.89,0.9062,0.8421
XTZ,2019-09-29,0.9,0.88,0.9251,0.8323
XTZ,2019-09-30,0.95,0.9,0.993,0.8999
XTZ,2019-10-01,0.9479,0.95,0.95,0.8872
XTZ,2019-10-02,0.9345,0.9479,0.966,0.9101
XTZ,2019-10-03,0.922,0.9345,0.9345,0.8881
XTZ,2019-10-04,0.9124,0.922,0.9232,0.9005
XTZ,2019-10-05,0.8649,0.9124,0.9161,0.8621
XTZ,2019-10-06,0.9021,0.8649,0.9241,0.8587
XTZ,2019-10-07,0.8993,0.9021,0.9123,0.8857
XTZ,2019-10-08,0.9457,0.8993,0.96,0.8923
XTZ,2019-10-09,0.9155,0.9457,0.9498,0.9155
XTZ,2019-10-10,0.9018,0.9155,0.9242,0.8799
XTZ,2019-10-11,0.8896,0.9018,0.9141,0.8841
XTZ,2019-10-12,0.9041,0.8896,0.955,0.8867
XTZ,2019-10-13,0.9363,0.9041,0.9389,0.9016
XTZ,2019-10-14,0.9048,0.9363,0.9389,0.9
XTZ,2019-10-15,0.8737,0.9048,0.9103,0.8431
XTZ,2019-10-16,0.8923,0.8737,0.8971,0.8673
XTZ,2019-10-17,0.8757,0.8923,0.8977,0.8613
XTZ,2019-10-18,0.8641,0.8757,0.8863,0.82
XTZ,2019-10-19,0.881,0.8641,0.8844,0.8298
XTZ,2019-10-20,0.8696,0.881,0.8881,0.847
XTZ,2019-10-21,0.8385,0.8696,0.9193,0.801
XTZ,2019-10-22,0.7629,0.8385,0.8385,0.7505
XTZ,2019-10-23,0.7617,0.7629,0.7783,0.75
XTZ,2019-10-24,0.8395,0.7617,0.8449,0.7617
XTZ,2019-10-25,0.8314,0.8395,0.936,0.8157
XTZ,2019-10-26,0.8618,0.8314,0.8745,0.8111
XTZ,2019-10-27,0.8531,0.8618,0.89,0.8513
XTZ,2019-10-28,0.8546,0.8531,0.868,0.8317
XTZ,2019-10-29,0.8789,0.8546,0.9214,0.8128
XTZ,2019-10-30,0.8901,0.8789,0.9253,0.8658
XTZ,2019-10-31,0.878,0.8901,0.8901,0.8638
XTZ,2019-11-01,0.863,0.878,0.8801,0.8574
XTZ,2019-11-02,0.8667,0.863,0.868,0.85
XTZ,2019-11-03,0.8876,0.8667,0.9088,0.8661
XTZ,2019-11-04,0.9228,0.8876,0.9309,0.8801
XTZ,2019-11-05,1.016,0.9228,1.044,0.9026
XTZ,2019-11-06,1.21,1.016,1.306,1.016
XTZ,2019-11-07,1.165,1.21,1.299,1.121
XTZ,2019-11-08,1.26,1.165,1.27,1.15
XTZ,2019-11-09,1.223,1.26,1.26,1.183
XTZ,2019-11-10,1.175,1.223,1.242,1.17
XTZ,2019-11-11,1.17,1.175,1.196,1.139
XTZ,2019-11-12,1.128,1.17,1.17,1.11
XTZ,2019-11-13,1.218,1.128,1.292,1.095
