Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2018-11-28,120.0311165884,110.2603759407,125.2017907996,108.00830504
ETH,2018-11-29,116.0877313296,121.5909338037,122.699183964,113.3702996347
ETH,2018-11-30,111.4911436578,117.0061007658,119.0906502607,110.1265901239
ETH,2018-12-01,117.6414341561,111.5422555501,119.2767290118,110.3872293917
ETH,2018-12-02,115.4385357312,117.0862265027,119.3837999654,114.5406762758
ETH,2018-12-03,108.0357964093,115.4328903045,115.7958058699,105.2594212028
ETH,2018-12-04,109.0668852759,108.0424719194,112.634251442,104.9790879191
ETH,2018-12-05,102.1066862708,109.0694289338,109.6285923067,101.4832580808
ETH,2018-12-06,92.5781746424,100.717290325,103.2491783079,92.4778451338
ETH,2018-12-07,93.2753310638,92.5691517535,96.3946113496,81.3044061189
ETH,2018-12-08,92.1408924166,93.2807852963,97.3145744365,84.1461843586
ETH,2018-12-09,92.4155490003,92.1524039451,98.2558738561,88.1688792548
ETH,2018-12-10,89.5245565595,92.991211053,94.7607273148,87.6109307723
ETH,2018-12-11,87.3421124138,89.2753513071,90.8755626628,85.1833213503
ETH,2018-12-12,88.7092809197,87.3609890424,90.8018737305,86.0810973116
ETH,2018-12-13,84.5751741466,88.9325093486,90.2882988119,83.8093190404
ETH,2018-12-14,83.3684557711,84.5800546372,86.0019897826,81.253585495
ETH,2018-12-15,83.149241079,83.3681580223,84.26226343,81.1107216517
ETH,2018-12-16,84.2210360841,82.8957037523,86.5193730144,82.8770627186
ETH,2018-12-17,93.1424463897,83.9268838258,96.6885955281,83.5499134238
ETH,2018-12-18,95.3363720351,93.142201795,95.9548711901,91.6100267004
ETH,2018-12-19,100.4732858263,100.8824265099,107.8674178247,98.3515704948
ETH,2018-12-20,113.2408047469,100.4824039093,116.8050017627,98.6882191296
ETH,2018-12-21,107.772415961,113.2500361688,118.4808864802,105.4068103524
ETH,2018-12-22,112.9109053425,107.9724708075,114.9122721464,105.7809181835
ETH,2018-12-23,129.9295018896,112.9109072235,132.4904029854,112.8786136011
ETH,2018-12-24,140.9478190682,129.4358906278,158.4114026334,129.2662015221
ETH,2018-12-25,128.6329040252,139.0467683719,139.8665927049,122.1365481639
ETH,2018-12-26,130.7066628501,128.6478923497,136.3263767363,123.9157419065
ETH,2018-12-27,114.7827176299,130.4361856967,131.8499357973,113.9598580976
ETH,2018-12-28,133.4127405689,114.7797800124,137.6693494305,112.7574348631
ETH,2018-12-31,131.3735701792,131.3086270129,131.5808613131,131.2770605477
ETH,2019-01-01,137.7276455527,131.5821186844,139.7195736705,130.20606412
ETH,2019-01-02,153.965635792,137.7276311709,155.1068019106,137.2237201768
ETH,2019-01-03,148.7968732927,153.9655469309,155.6874294734,144.7769438237
ETH,2019-01-04,152.8736310456,147.3248142402,155.5245700781,145.5341899702
ETH,2019-01-05,155.095360577,152.8733306126,159.9726505358,152.3269856907
ETH,2019-01-06,154.5808229532,154.1942338202,158.7781413884,148.7547336576
ETH,2019-01-07,149.6001646386,155.7205699189,156.843891018,96.6512947703
ETH,2019-01-08,148.9541572482,149.5236864541,152.6321400943,146.4878361941
ETH,2019-01-09,149.4467337191,148.5117914356,152.4764332315,147.9579900152
ETH,2019-01-10,126.5650300753,149.446667593,150.6208103157,121.6887333375
ETH,2019-01-11,123.5910350506,126.5371877814,128.8067577868,121.3556451374
ETH,2019-01-12,123.8033581291,123.6304859185,127.0693278771,122.8037322756
ETH,2019-01-13,114.944223904,124.3771182707,125.2036302344,113.1292871355
ETH,2019-01-14,128.0799992287,114.944209936,131.1185194846,114.2667117189
ETH,2019-01-15,118.5098661616,128.0801296234,130.0356931767,116.8963344775
ETH,2019-01-16,121.9013891834,118.5100791146,127.3818186236,118.3190122797
ETH,2019-01-17,121.6874460073,121.9623271169,123.2277154689,117.4122301281
ETH,2019-01-18,119.2001110172,121.7069500953,123.2127346406,118.0183862219
ETH,2019-01-19,123.5757733021,119.2001574637,125.6448549632,119.1326426989
ETH,2019-01-20,117.5549281201,123.0924412381,123.7254707041,115.9477572692
ETH,2019-01-21,115.7333685348,117.5546208111,118.1063765025,113.5182197825
ETH,2019-01-22,118.2059597956,115.7334620487,119.4316956735,111.5413688087
ETH,2019-01-23,116.3314966966,117.8343337585,118.8260131865,115.0576305392
ETH,2019-01-24,116.1124519087,116.5487895277,117.101297508,113.9071136174
ETH,2019-01-25,115.2563718932,116.4927724875,117.1356830427,114.3611699567
ETH,2019-01-26,115.243615305,115.2563656375,117.7671783066,114.8544639463
ETH,2019-01-27,112.6337304817,115.2438412381,115.6642687452,110.725584374
ETH,2019-01-28,105.0082800486,111.4585951733,112.3475301513,100.8689101548
ETH,2019-01-29,104.1371894495,105.4232294521,105.9885817649,102.2851845829
ETH,2019-01-30,107.571489859,104.1369390913,109.2572738536,102.9618628699
ETH,2019-01-31,106.1733014406,107.5141402595,109.946907928,104.8366869868
ETH,2019-02-01,106.1211666282,105.8107493721,106.7926356915,103.1805885389
ETH,2019-02-02,106.7283216447,106.1211677508,107.3488816606,105.1443238066
ETH,2019-02-03,106.0944999198,106.7092013309,110.1662270237,104.733603228
ETH,2019-02-04,106.240187899,106.033106874,107.9000538845,105.2332059991
ETH,2019-02-05,105.9936587395,106.2401433317,106.7151779357,105.2543571015
ETH,2019-02-06,103.9392120839,106.0126808628,106.3714783478,100.2281066932
ETH,2019-02-07,103.2855553044,103.2956520455,104.7116364742,102.7100567406
ETH,2019-02-08,116.4289744812,103.2859055186,122.1893147819,102.3980986452
ETH,2019-02-09,117.8487110475,117.9527024801,119.8365281452,116.3853593852
ETH,2019-02-10,120.3541791033,117.8486112438,121.1527323086,114.8131007264
ETH,2019-02-11,119.8905690818,120.3544952798,124.6101955719,118.2158464709
ETH,2019-02-12,120.2123398038,119.9000600182,122.3045379321,117.0696381076
ETH,2019-02-13,120.4059778238,120.9543782342,124.9783440393,119.5683735057
ETH,2019-02-14,119.8093874507,120.4345756936,123.0146428311,119.0710362354
ETH,2019-02-15,120.2850568135,119.2897881336,122.9850158772,119.0954876139
ETH,2019-02-16,122.2792164967,120.2816440732,123.4070221186,120.1800621406
ETH,2019-02-17,132.0913764116,122.2830339132,132.5506291018,121.4280412984
ETH,2019-02-18,142.6179951418,132.0833333326,146.9166314182,131.1529605356
ETH,2019-02-19,144.1606665703,144.3135748655,148.8948454943,142.4677219988
ETH,2019-02-20,145.5482540169,144.1319613327,147.1164350201,139.467396243
ETH,2019-02-21,142.8699894413,145.5498059249,148.1926589608,141.7698535895
ETH,2019-02-22,146.6658011571,144.2710961817,147.2431931097,142.4787667331
ETH,2019-02-23,157.0470866597,146.6464760033,158.7038543115,145.0117551703
ETH,2019-02-24,137.763890984,157.0405027344,164.810550368,133.5265434447
ETH,2019-02-25,138.0371413165,137.7391332464,140.5764644325,131.6922631295
ETH,2019-02-26,135.7434190968,138.036583388,138.3588512001,133.3974162438
ETH,2019-02-27,131.6677684794,135.7713840795,139.4785733566,126.043288588
ETH,2019-02-28,134.8225062414,131.6017073269,137.669033076,131.3947799127
ETH,2019-03-01,135.0662511356,134.8221983759,137.4061494107,134.2014573486
ETH,2019-03-02,131.3451771212,134.7353162452,135.5207970164,129.6586445321
ETH,2019-03-03,130.3974611771,132.1474850043,133.9691892797,130.0856239876
ETH,2019-03-04,124.7250939109,130.3973379701,130.5621234901,122.2481348449
ETH,2019-03-05,135.0005720069,125.1612073109,137.4146380411,124.6598913252
ETH,2019-03-06,137.0843769976,134.9907852234,139.5835224119,133.0811174623
ETH,2019-03-07,136.8074623786,137.0939126805,139.4915609802,134.6826753237
ETH,2019-03-08,132.3616609838,136.788275663,138.567590559,129.8461263274
ETH,2019-03-09,136.0269174012,132.7106300672,137.8407867183,132.2005986007
ETH,2019-03-10,135.3620740288,136.3902090716,136.9078854291,133.4034303258
ETH,2019-03-11,132.4076102121,134.8044892266,135.4373066435,130.655977301
ETH,2019-03-12,132.8070686592,132.4461883875,134.3241246974,127.469041664
ETH,2019-03-13,131.0407793819,132.8068615716,133.2914310739,130.166299804
ETH,2019-03-14,131.3672841037,131.0407793799,134.2672074545,128.8915678631
ETH,2019-03-15,134.9901213568,131.3674027933,136.249066713,131.2485041907
ETH,2019-03-16,140.5670429458,134.9900710231,143.5012829704,134.9611651338
